Nom,Cores,Potència,Caché
AMD Ryzen™ 7 PRO 4750G,8,Up to 4.4 GHz,"Max. Boost Clock: ""Up to 5.4 GHz"","
AMD Ryzen™ 7 4700GE (OEM Only),8,Up to 4.3 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 7 4700G (OEM Only),8,Up to 4.4 GHz,"},"
AMD Ryzen™ 7 PRO 3700,8,Up to 4.4 GHz,{
AMD Ryzen™ 7 3800XT,8,Up to 4.7 GHz,"Name: ""AMD Ryzen™ 9 7940HX"","
AMD Ryzen™ 7 3800X,8,Up to 4.5 GHz,"# of CPU Cores: ""16"","
AMD Ryzen™ 7 3700X,8,Up to 4.4 GHz,"Max. Boost Clock: ""Up to 5.2 GHz"","
AMD Ryzen™ 7 PRO 2700X,8,Up to 4.1 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 7 PRO 2700,8,Up to 4.1 GHz,"},"
AMD Ryzen™ 7 2700X,8,Up to 4.3 GHz,{
AMD Ryzen™ 7 2700E Processor,8,Up to 4 GHz,"Name: ""AMD Ryzen™ 9 5950X"","
AMD Ryzen™ 7 2700,8,Up to 4.1 GHz,"# of CPU Cores: ""16"","
AMD Ryzen™ 7 PRO 1700X Processor,8,Up to 3.8 GHz,"Max. Boost Clock: ""Up to 4.9 GHz"","
AMD Ryzen™ 7 PRO 1700,8,Up to 3.7 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 7 1800X,8,Up to 4 GHz,"},"
AMD Ryzen™ 7 1700X,8,Up to 3.8 GHz,{
AMD Ryzen™ 7 1700 Processor,8,Up to 3.7 GHz,"Name: ""AMD Ryzen™ 9 5900XT"","
FX-9590,8,Up to 5 GHz,"# of CPU Cores: ""16"","
FX-9370,8,Up to 4.7 GHz,"Max. Boost Clock: ""Up to 4.8 GHz"","
FX-8370E,8,Up to 4.3 GHz,"L3 Cache: ""64 MB"""
FX-8370 with Wraith cooler,8,Up to 4.3 GHz,"},"
FX-8370,8,Up to 4.3 GHz,{
FX-8350 with Wraith cooler,8,Up to 4.2 GHz,"Name: ""AMD Ryzen™ Threadripper™ 2950X"","
FX-8350,8,Up to 4.2 GHz,"# of CPU Cores: ""16"","
FX-8320E,8,Up to 4 GHz,"Max. Boost Clock: ""Up to 4.4 GHz"","
FX-8320,8,Up to 4 GHz,"L3 Cache: ""32 MB"""
FX-8310,8,Up to 4.3 GHz,"},"
FX-8300,8,Up to 4.2 GHz,{
FX-8150,8,Up to 4.2 GHz,"Name: ""AMD Ryzen™ Threadripper™ 1950X"","
FX-8120,8,Up to 4 GHz,"# of CPU Cores: ""16"","
AMD Ryzen™ 5 9600X,6,Up to 5.4 GHz,"Max. Boost Clock: ""Up to 4 GHz"","
AMD Ryzen™ 5 PRO 8640U,6,Up to 4.9 GHz,"L3 Cache: ""32 MB"""
AMD Ryzen™ 5 PRO 8645HS,6,Up to 5 GHz,"},"
AMD Ryzen™ 5 PRO 8640HS,6,Up to 4.9 GHz,{
AMD Ryzen™ 5 PRO 8600GE,6,Up to 5 GHz,"Name: ""AMD Ryzen™ Threadripper™ PRO 7955WX"","
AMD Ryzen™ 5 PRO 8600G,6,Up to 5 GHz,"# of CPU Cores: ""16"","
AMD Ryzen™ 5 PRO 8540U,6,Up to 4.9 GHz,"Max. Boost Clock: ""Up to 5.3 GHz"","
AMD Ryzen™ 5 PRO 8500GE,6,Up to 5 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 5 PRO 8500G,6,Up to 5 GHz,"},"
AMD Ryzen™ 5 8645HS,6,Up to 5 GHz,{
